Date,Country,State,Disease,Symptoms,Cases,Severity_Score,Risk_Level,Hospital_Visits
2026-02-17,Germany,Berlin,Skin Infection,"redness, swelling, itching, skin rash",185,6,Low,49
2025-09-30,Germany,Hesse,Respiratory Infection,"sore throat, fever, breathing issue, cough",159,20,High,26
2026-02-27,India,Gujarat,Skin Infection,"skin rash, redness, itching, swelling",424,15,High,177
2026-01-08,Germany,Bavaria,Flu,"runny nose, body pain",432,18,High,427
2025-09-20,USA,Florida,Respiratory Infection,"fever, breathing issue",433,9,Moderate,155
2025-10-13,Canada,Quebec,Dengue,"skin rash, joint pain, high fever",324,9,Moderate,108
2025-11-26,Canada,Alberta,Asthma,"wheezing, breathing difficulty, cough, chest tightness",46,7,Low,10
2026-04-08,USA,California,Typhoid,"abdominal pain, weakness, loss of appetite, fever",331,13,Moderate,1
2025-08-22,Canada,Ontario,Dengue,"skin rash, joint pain, headache",245,7,Low,135
2026-03-14,Canada,Ontario,Migraine,"nausea, vomiting",52,7,Low,50
2025-10-08,USA,Ohio,Migraine,"nausea, sensitivity to light, vomiting",203,4,Low,132
2026-04-05,India,Rajasthan,Asthma,"cough, wheezing",294,18,High,86
2026-02-25,Germany,Berlin,Diabetes,"fatigue, increased thirst, frequent urination",199,6,Low,131
2025-11-25,USA,Ohio,Migraine,"vomiting, nausea, sensitivity to light, headache",134,5,Low,54
2025-06-16,Germany,Bavaria,COVID-19,"breathing difficulty, loss of smell, cough",267,12,Moderate,201
2026-01-21,Germany,Berlin,Malaria,"chills, fatigue, fever, sweating",253,12,Moderate,82
2026-03-21,India,Delhi,Asthma,"breathing difficulty, cough",252,16,High,187
2025-12-09,India,Delhi,Flu,"body pain, runny nose, cough, fever",407,16,High,201
2025-10-27,India,Punjab,Asthma,"breathing difficulty, chest tightness, wheezing, cough",491,13,Moderate,49
2025-08-31,India,Delhi,Malaria,"sweating, fever",182,20,High,181
2025-08-25,India,Tamil Nadu,Typhoid,"abdominal pain, loss of appetite, fever",372,4,Low,370
2026-03-30,Canada,Ontario,Skin Infection,"swelling, itching, redness",428,17,High,347
2026-03-17,USA,Ohio,Malaria,"fatigue, chills, fever, sweating",286,9,Moderate,240
2025-12-20,India,Gujarat,COVID-19,"fever, cough",416,14,Moderate,199
2026-04-04,Germany,Berlin,Respiratory Infection,"sore throat, breathing issue",178,4,Low,76
2025-08-11,USA,Ohio,Typhoid,"fever, abdominal pain",243,5,Low,228
2026-01-12,USA,Ohio,Typhoid,"weakness, fever",110,12,Moderate,15
2026-02-20,Germany,Hamburg,Skin Infection,"itching, skin rash, swelling",351,19,High,266
2025-09-26,Canada,Ontario,Asthma,"breathing difficulty, wheezing",453,12,Moderate,213
2026-04-27,USA,Florida,Asthma,"chest tightness, cough, wheezing",365,7,Low,84
2025-06-23,India,Karnataka,Flu,"cough, runny nose",223,5,Low,97
2025-10-14,Germany,Berlin,Flu,"cough, fever",321,8,Moderate,236
2025-06-24,Canada,Alberta,Diabetes,"weight loss, frequent urination, fatigue, increased thirst",361,17,High,184
2026-02-01,USA,Texas,COVID-19,"breathing difficulty, fever, loss of smell, cough",364,7,Low,225
2026-01-07,India,Uttar Pradesh,Diabetes,"increased thirst, frequent urination, fatigue, weight loss",310,19,High,95
2026-03-15,USA,Texas,COVID-19,"loss of smell, cough, breathing difficulty, fever",348,20,High,223
2025-08-24,Canada,Alberta,Migraine,"headache, vomiting",91,17,High,82
2026-03-29,USA,California,Respiratory Infection,"breathing issue, fever",160,3,Low,125
2025-09-13,India,Tamil Nadu,Dengue,"skin rash, joint pain, headache",149,3,Low,127
2026-05-01,India,Gujarat,Migraine,"sensitivity to light, nausea, vomiting",142,15,High,67
2025-06-10,Germany,Bavaria,Diabetes,"weight loss, frequent urination",381,17,High,321
2026-03-01,Canada,Quebec,Migraine,"nausea, headache",262,3,Low,192
2026-05-03,India,Gujarat,Skin Infection,"redness, swelling, skin rash",335,6,Low,214
2025-06-18,Canada,Alberta,Diabetes,"frequent urination, increased thirst, fatigue, weight loss",393,16,High,171
2026-02-12,USA,California,Skin Infection,"redness, swelling, itching",225,17,High,91
2026-05-16,Canada,Ontario,Migraine,"headache, nausea",225,17,High,177
2026-02-28,USA,Florida,Typhoid,"loss of appetite, abdominal pain, weakness",28,7,Low,23
2025-11-25,Germany,Berlin,Asthma,"cough, chest tightness, wheezing, breathing difficulty",430,19,High,317
2026-01-01,Canada,Quebec,Skin Infection,"swelling, itching, redness",111,19,High,89
2025-12-03,USA,Ohio,Respiratory Infection,"fever, sore throat, cough, breathing issue",437,16,High,170
2025-09-30,Germany,Hesse,Dengue,"high fever, headache",302,4,Low,200
2026-03-04,USA,Texas,Skin Infection,"redness, skin rash, swelling",228,19,High,154
2026-02-18,Germany,Hamburg,Malaria,"fatigue, sweating",314,7,Low,22
2025-11-19,USA,California,Dengue,"headache, skin rash",37,20,High,12
2025-06-27,India,Punjab,Skin Infection,"redness, itching",343,14,Moderate,318
2026-03-22,Germany,Berlin,Asthma,"cough, chest tightness, breathing difficulty, wheezing",476,4,Low,261
2025-07-01,India,Punjab,Respiratory Infection,"cough, breathing issue, fever",393,3,Low,12
2026-01-23,Canada,Ontario,COVID-19,"breathing difficulty, fever",20,4,Low,12
2026-03-22,Germany,Hamburg,Malaria,"sweating, fatigue",378,6,Low,205
2026-02-09,Canada,Ontario,COVID-19,"cough, breathing difficulty",473,13,Moderate,150
2025-05-27,India,Maharashtra,Typhoid,"abdominal pain, weakness, fever, loss of appetite",498,19,High,488
2025-08-16,Canada,Alberta,Typhoid,"weakness, loss of appetite",118,11,Moderate,23
2026-04-06,USA,New York,Migraine,"headache, nausea, sensitivity to light, vomiting",269,7,Low,97
2025-11-04,Germany,Hesse,Diabetes,"increased thirst, fatigue, frequent urination, weight loss",368,4,Low,288
2026-02-25,India,Tamil Nadu,COVID-19,"fever, breathing difficulty",457,19,High,70
2025-12-22,Germany,Berlin,Asthma,"wheezing, breathing difficulty",351,8,Moderate,317
2025-11-04,Germany,Berlin,Skin Infection,"redness, swelling",148,20,High,124
2026-03-12,USA,Florida,COVID-19,"cough, breathing difficulty, fever, loss of smell",129,4,Low,77
2025-09-11,India,Punjab,Typhoid,"fever, weakness, abdominal pain",166,15,High,35
2025-07-18,USA,Texas,Skin Infection,"skin rash, swelling, redness, itching",281,8,Moderate,138
2025-10-08,Canada,Quebec,Skin Infection,"redness, itching",419,13,Moderate,190
2026-01-02,USA,California,Migraine,"vomiting, nausea, headache, sensitivity to light",83,13,Moderate,17
2026-04-10,Canada,Ontario,Asthma,"chest tightness, breathing difficulty, cough, wheezing",457,13,Moderate,41
2025-10-17,India,Maharashtra,Diabetes,"increased thirst, fatigue",337,20,High,16
2025-08-17,Germany,Hesse,Dengue,"skin rash, joint pain",372,13,Moderate,217
2025-06-05,India,Rajasthan,Skin Infection,"swelling, redness, itching",25,13,Moderate,7
2026-02-02,USA,Florida,Dengue,"headache, high fever, skin rash",470,10,Moderate,337
2025-07-08,USA,California,Malaria,"sweating, fatigue, fever",364,14,Moderate,306
2026-01-18,Canada,Ontario,Dengue,"headache, high fever",136,18,High,25
2025-08-25,India,Gujarat,Diabetes,"fatigue, increased thirst, frequent urination",497,9,Moderate,429
2025-08-09,Germany,Bavaria,Diabetes,"frequent urination, fatigue",467,11,Moderate,219
2026-04-16,India,Maharashtra,Asthma,"chest tightness, wheezing, cough, breathing difficulty",203,4,Low,118
2026-02-18,Canada,Ontario,Migraine,"sensitivity to light, nausea, headache",408,10,Moderate,252
2025-06-12,India,Maharashtra,Typhoid,"abdominal pain, loss of appetite",368,5,Low,323
2026-02-20,Germany,Hesse,Typhoid,"abdominal pain, weakness, loss of appetite",75,3,Low,46
2025-11-18,India,Punjab,COVID-19,"breathing difficulty, cough, loss of smell",92,14,Moderate,79
2025-06-04,USA,Florida,Diabetes,"fatigue, frequent urination, increased thirst",437,11,Moderate,141
2025-12-06,Germany,Bavaria,Dengue,"headache, joint pain, skin rash",458,19,High,321
2026-03-11,USA,New York,Asthma,"chest tightness, cough, breathing difficulty, wheezing",244,18,High,124
2026-05-13,Canada,Alberta,Diabetes,"weight loss, frequent urination",399,14,Moderate,369
2025-09-30,USA,Texas,Migraine,"vomiting, sensitivity to light, nausea",459,13,Moderate,187
2026-04-15,India,Rajasthan,COVID-19,"cough, breathing difficulty, loss of smell",239,8,Moderate,209
2025-09-09,India,Karnataka,Asthma,"chest tightness, cough, wheezing, breathing difficulty",200,13,Moderate,162
2026-05-11,India,Rajasthan,Asthma,"cough, wheezing",87,13,Moderate,40
2025-05-28,Germany,Hesse,Typhoid,"fever, abdominal pain",424,5,Low,259
2026-02-06,Canada,Quebec,Migraine,"headache, sensitivity to light",121,14,Moderate,79
2025-10-26,Canada,Ontario,COVID-19,"breathing difficulty, loss of smell",186,9,Moderate,42
2025-12-01,USA,Texas,Dengue,"headache, joint pain",229,3,Low,175
2026-05-02,India,Karnataka,Dengue,"joint pain, high fever, skin rash",317,15,High,93
2025-06-30,USA,New York,Flu,"runny nose, fever, cough, body pain",52,3,Low,28
2025-06-12,Canada,Ontario,Skin Infection,"itching, swelling",173,20,High,113
2025-10-10,India,Karnataka,Typhoid,"weakness, abdominal pain, loss of appetite, fever",58,14,Moderate,18
2026-01-08,India,Tamil Nadu,Flu,"cough, fever",129,13,Moderate,34
2026-03-23,Canada,Quebec,Skin Infection,"redness, itching, skin rash",320,5,Low,296
2025-07-05,USA,New York,Dengue,"high fever, joint pain, skin rash, headache",130,10,Moderate,76
2025-09-27,India,Delhi,Malaria,"fatigue, fever, sweating, chills",445,7,Low,372
2025-08-20,India,Gujarat,Skin Infection,"itching, redness",57,3,Low,30
2025-06-08,Canada,Alberta,Malaria,"fatigue, fever, chills, sweating",251,4,Low,133
2026-02-03,USA,New York,Respiratory Infection,"cough, breathing issue",70,18,High,31
2026-05-04,Canada,Ontario,Migraine,"nausea, headache, sensitivity to light",98,16,High,1
2026-05-14,Germany,Berlin,Asthma,"breathing difficulty, cough, wheezing, chest tightness",230,13,Moderate,89
2025-11-13,USA,New York,Migraine,"vomiting, nausea, headache, sensitivity to light",472,10,Moderate,179
2025-07-06,Canada,Alberta,Flu,"body pain, runny nose, fever, cough",91,10,Moderate,26
2025-06-02,Canada,Quebec,Dengue,"headache, joint pain",438,11,Moderate,354
2025-10-05,USA,Ohio,Flu,"fever, runny nose, cough",261,10,Moderate,239
2025-08-21,Germany,Hesse,Skin Infection,"redness, itching, skin rash",432,11,Moderate,304
2025-08-22,Canada,Alberta,Asthma,"chest tightness, breathing difficulty, cough, wheezing",286,9,Moderate,147
2025-11-05,Canada,Ontario,COVID-19,"breathing difficulty, cough, fever",121,5,Low,9
2026-02-13,India,Punjab,Flu,"fever, body pain",150,11,Moderate,46
2026-05-14,USA,New York,Respiratory Infection,"cough, breathing issue, sore throat",489,20,High,90
2025-09-21,Canada,Ontario,Skin Infection,"swelling, redness",273,12,Moderate,156
2026-04-01,USA,California,Malaria,"fever, chills",444,14,Moderate,290
2025-07-12,Canada,Quebec,Malaria,"fatigue, sweating, chills",453,6,Low,129
2025-05-29,USA,New York,Flu,"runny nose, fever, cough, body pain",323,3,Low,252
2025-06-30,USA,Ohio,Asthma,"chest tightness, breathing difficulty, wheezing",91,14,Moderate,22
2026-04-28,India,Karnataka,Diabetes,"fatigue, frequent urination",288,8,Moderate,103
2025-09-19,Germany,Bavaria,Migraine,"vomiting, headache, sensitivity to light",446,5,Low,322
2026-02-16,Canada,Quebec,Flu,"cough, fever",405,17,High,219
2025-07-06,India,Punjab,Typhoid,"loss of appetite, weakness, fever",256,14,Moderate,235
2025-08-28,India,Tamil Nadu,Skin Infection,"skin rash, redness, swelling, itching",86,7,Low,9
2025-08-04,Canada,Quebec,Malaria,"chills, fatigue, sweating",481,13,Moderate,273
2025-10-12,Germany,Bavaria,Respiratory Infection,"cough, breathing issue, sore throat, fever",426,13,Moderate,27
2025-10-31,India,Karnataka,Typhoid,"fever, weakness, abdominal pain, loss of appetite",239,3,Low,31
2025-08-19,USA,California,COVID-19,"cough, fever",12,8,Moderate,9
2025-08-15,Canada,Quebec,Diabetes,"fatigue, frequent urination",65,10,Moderate,43
2026-03-27,USA,California,Skin Infection,"itching, redness",164,9,Moderate,91
2026-03-18,Canada,Alberta,Dengue,"skin rash, joint pain, headache",340,12,Moderate,164
2025-06-06,Canada,Quebec,Asthma,"wheezing, breathing difficulty, cough",364,20,High,258
2025-10-04,Canada,Alberta,Migraine,"vomiting, nausea, sensitivity to light",87,5,Low,79
2026-04-16,India,Gujarat,Typhoid,"abdominal pain, weakness, fever",461,14,Moderate,247
2025-07-18,India,Tamil Nadu,Diabetes,"fatigue, increased thirst",87,12,Moderate,59
2025-09-21,USA,California,Dengue,"high fever, joint pain",295,5,Low,159
2026-04-10,USA,Florida,Skin Infection,"itching, redness, swelling, skin rash",486,18,High,90
2025-10-24,India,Karnataka,Dengue,"headache, high fever, joint pain",322,17,High,55
2026-04-29,USA,New York,Migraine,"headache, sensitivity to light",475,9,Moderate,34
2025-10-20,Germany,Bavaria,Diabetes,"increased thirst, weight loss",423,15,High,51
2025-07-30,Canada,Alberta,COVID-19,"breathing difficulty, cough",10,6,Low,9
2025-12-08,Germany,Hamburg,Dengue,"headache, joint pain, high fever",127,7,Low,104
2026-01-16,India,Maharashtra,Flu,"cough, runny nose, fever, body pain",470,10,Moderate,417
2025-10-19,India,Delhi,Migraine,"sensitivity to light, nausea, headache",491,9,Moderate,478
2025-10-07,USA,New York,Dengue,"headache, high fever, joint pain, skin rash",319,15,High,64
2026-02-25,India,Delhi,Dengue,"headache, joint pain, skin rash",224,8,Moderate,23
2025-08-20,India,Delhi,COVID-19,"cough, breathing difficulty",419,12,Moderate,183
2025-12-09,USA,New York,Skin Infection,"swelling, redness",491,7,Low,56
2025-07-09,Canada,Quebec,Diabetes,"fatigue, increased thirst",85,9,Moderate,44
2025-10-19,Canada,Alberta,Migraine,"nausea, sensitivity to light, headache",129,18,High,115
2025-06-30,USA,California,Malaria,"fever, chills, sweating",255,6,Low,70
2026-04-16,USA,Texas,COVID-19,"loss of smell, cough",386,10,Moderate,45
2026-02-10,USA,Ohio,Migraine,"vomiting, headache",181,11,Moderate,34
2025-08-04,Canada,Ontario,Respiratory Infection,"fever, sore throat, cough, breathing issue",303,20,High,158
2025-06-15,Canada,Alberta,Flu,"runny nose, cough, body pain",446,5,Low,246
2025-11-17,Germany,Berlin,Respiratory Infection,"fever, sore throat, cough",25,10,Moderate,1
2026-01-03,USA,California,Diabetes,"increased thirst, fatigue, frequent urination, weight loss",469,3,Low,60
2026-02-24,Canada,Ontario,Flu,"fever, body pain",196,19,High,77
2025-07-21,India,Maharashtra,Asthma,"breathing difficulty, cough",476,17,High,84
2025-07-17,India,Gujarat,Skin Infection,"skin rash, itching, redness, swelling",132,16,High,32
2025-09-04,India,Gujarat,Diabetes,"increased thirst, frequent urination, weight loss",358,14,Moderate,37
2026-02-20,Germany,Hesse,COVID-19,"fever, breathing difficulty, loss of smell",428,17,High,360
2025-08-08,USA,Texas,Skin Infection,"swelling, itching",69,8,Moderate,23
2026-02-24,USA,California,Typhoid,"weakness, fever",407,6,Low,268
2025-10-25,USA,Ohio,Respiratory Infection,"sore throat, breathing issue, cough",456,9,Moderate,407
2025-08-27,Germany,Hesse,Respiratory Infection,"sore throat, breathing issue",494,4,Low,150
2026-03-29,Canada,Alberta,Diabetes,"fatigue, frequent urination, weight loss",167,10,Moderate,166
2025-09-06,USA,New York,Dengue,"joint pain, skin rash, headache, high fever",486,12,Moderate,354
2026-01-23,Canada,Alberta,Malaria,"sweating, fatigue",58,15,High,20
2025-12-11,Canada,Quebec,Respiratory Infection,"sore throat, fever",199,17,High,52
2026-01-09,USA,California,Respiratory Infection,"fever, breathing issue, cough, sore throat",312,6,Low,191
2025-12-20,Canada,Alberta,Migraine,"nausea, sensitivity to light, vomiting",30,3,Low,23
2026-01-03,India,Punjab,Dengue,"high fever, skin rash, headache, joint pain",326,6,Low,305
2026-04-16,Canada,Quebec,Dengue,"headache, skin rash, high fever, joint pain",466,11,Moderate,171
2025-08-16,Germany,Bavaria,Malaria,"chills, fever",181,17,High,23
2025-12-18,USA,California,Skin Infection,"redness, swelling, skin rash",455,14,Moderate,286
2025-05-22,USA,Florida,Diabetes,"frequent urination, increased thirst, fatigue",395,11,Moderate,158
2025-06-20,India,Maharashtra,Asthma,"breathing difficulty, cough",485,14,Moderate,368
2026-04-06,Germany,Hamburg,Migraine,"headache, nausea",459,19,High,409
2025-09-18,Germany,Berlin,Dengue,"high fever, joint pain, headache, skin rash",115,9,Moderate,31
2026-03-23,Germany,Bavaria,Asthma,"cough, wheezing, breathing difficulty",226,4,Low,197
2025-12-07,Germany,Hesse,Dengue,"high fever, joint pain, skin rash",174,19,High,5
2025-08-06,USA,Ohio,Migraine,"headache, nausea, sensitivity to light, vomiting",154,5,Low,117
2026-04-16,India,Karnataka,Malaria,"chills, sweating",358,19,High,221
2025-08-02,USA,Texas,Skin Infection,"redness, swelling, skin rash",485,15,High,358
2025-07-05,Canada,Quebec,COVID-19,"loss of smell, fever, breathing difficulty",464,17,High,56
2025-06-03,Germany,Bavaria,Flu,"fever, runny nose",113,16,High,79
2025-12-20,Germany,Bavaria,Respiratory Infection,"breathing issue, fever",52,13,Moderate,50
2026-04-17,Germany,Berlin,Respiratory Infection,"breathing issue, cough, fever, sore throat",73,10,Moderate,3
2026-04-23,USA,Florida,Typhoid,"abdominal pain, loss of appetite, fever, weakness",380,19,High,83
2025-06-23,Germany,Berlin,Flu,"cough, runny nose, body pain, fever",194,20,High,164
2025-09-07,Germany,Hesse,Diabetes,"increased thirst, weight loss, fatigue",308,19,High,2
2025-09-02,India,Punjab,Dengue,"joint pain, high fever",275,14,Moderate,114
2025-08-09,India,Gujarat,Typhoid,"abdominal pain, fever, weakness, loss of appetite",416,15,High,339
2026-04-18,Canada,Quebec,COVID-19,"loss of smell, fever, breathing difficulty, cough",468,3,Low,366
2025-07-09,Germany,Hamburg,Malaria,"fatigue, fever, chills, sweating",72,13,Moderate,12
2025-12-14,Germany,Berlin,Malaria,"fatigue, fever",390,18,High,171
2025-08-30,Germany,Bavaria,Diabetes,"increased thirst, frequent urination, fatigue",338,10,Moderate,176
2025-08-08,Canada,Ontario,Asthma,"cough, chest tightness",174,19,High,52
2026-04-15,Germany,Bavaria,Diabetes,"fatigue, weight loss, increased thirst, frequent urination",267,12,Moderate,73
2025-08-22,India,Punjab,Malaria,"fever, fatigue, sweating",449,20,High,181
2025-09-08,Canada,Ontario,COVID-19,"loss of smell, cough, fever, breathing difficulty",205,15,High,171
2026-05-05,USA,California,Flu,"fever, body pain, runny nose",298,12,Moderate,48
2025-10-07,Germany,Bavaria,Malaria,"fever, fatigue",198,4,Low,79
2025-10-04,USA,Florida,Diabetes,"weight loss, increased thirst, frequent urination, fatigue",62,19,High,54
2025-12-05,India,Uttar Pradesh,COVID-19,"fever, loss of smell, cough, breathing difficulty",351,7,Low,159
2025-08-15,Canada,Ontario,Malaria,"chills, fever, fatigue, sweating",141,8,Moderate,126
2026-04-28,Germany,Hamburg,Skin Infection,"itching, swelling, skin rash, redness",11,7,Low,7
2025-11-27,USA,Texas,Diabetes,"weight loss, fatigue",153,3,Low,59
2025-06-23,USA,Florida,Malaria,"sweating, chills",357,20,High,238
2026-04-02,India,Punjab,Dengue,"skin rash, joint pain",19,19,High,4
2025-09-14,USA,California,Skin Infection,"itching, skin rash",145,20,High,103
2026-02-20,Canada,Alberta,Diabetes,"increased thirst, fatigue, weight loss",72,3,Low,13
2025-10-30,Germany,Hesse,Asthma,"cough, chest tightness, breathing difficulty",425,18,High,159
2025-07-22,India,Karnataka,Migraine,"nausea, vomiting, sensitivity to light, headache",453,14,Moderate,451
2026-01-11,India,Gujarat,Flu,"cough, body pain, runny nose, fever",461,10,Moderate,210
2025-06-25,India,Tamil Nadu,Respiratory Infection,"cough, breathing issue, sore throat",259,4,Low,103
2026-02-16,India,Delhi,Respiratory Infection,"cough, breathing issue",488,6,Low,433
2026-04-06,Germany,Hamburg,Diabetes,"frequent urination, increased thirst, weight loss",224,4,Low,101
2026-04-11,USA,New York,Diabetes,"weight loss, frequent urination, increased thirst, fatigue",214,6,Low,111
2025-09-11,India,Karnataka,Respiratory Infection,"fever, breathing issue",245,3,Low,111
2026-02-01,India,Uttar Pradesh,Skin Infection,"itching, swelling, redness",120,11,Moderate,100
2026-03-05,India,Maharashtra,Dengue,"skin rash, joint pain, high fever",328,8,Moderate,306
2026-03-13,USA,California,Dengue,"high fever, skin rash, headache",155,13,Moderate,114
2026-04-03,USA,Ohio,Dengue,"high fever, joint pain, headache",430,13,Moderate,49
2026-03-07,USA,New York,Diabetes,"weight loss, increased thirst",235,6,Low,201
2025-07-14,USA,Texas,Diabetes,"fatigue, weight loss, increased thirst",388,5,Low,229
2025-06-19,Canada,Quebec,COVID-19,"breathing difficulty, loss of smell, fever",186,19,High,11
2026-01-19,Germany,Hamburg,Flu,"body pain, cough, runny nose",278,14,Moderate,192
2026-01-15,India,Gujarat,COVID-19,"loss of smell, breathing difficulty",444,19,High,1
2026-03-01,Canada,Alberta,Respiratory Infection,"sore throat, cough, breathing issue",357,4,Low,37
2025-08-13,India,Maharashtra,COVID-19,"breathing difficulty, loss of smell",483,16,High,140
2026-02-20,Germany,Berlin,Respiratory Infection,"breathing issue, fever, sore throat",49,14,Moderate,16
2026-01-24,USA,Florida,Malaria,"chills, sweating, fever, fatigue",69,3,Low,67
2026-02-19,USA,Florida,Typhoid,"loss of appetite, weakness, fever, abdominal pain",334,20,High,293
2025-08-07,Canada,Quebec,Dengue,"joint pain, high fever, skin rash, headache",443,12,Moderate,322
2025-07-11,Canada,Alberta,Malaria,"sweating, fever",424,9,Moderate,168
2025-11-24,USA,Florida,Skin Infection,"redness, swelling, skin rash, itching",41,5,Low,4
2025-08-26,India,Delhi,Typhoid,"weakness, loss of appetite, fever, abdominal pain",391,8,Moderate,165
2025-11-13,India,Punjab,Respiratory Infection,"cough, sore throat",251,7,Low,79
2025-07-22,India,Karnataka,Asthma,"breathing difficulty, wheezing",234,5,Low,205
2025-12-13,Canada,Ontario,Skin Infection,"skin rash, swelling, redness, itching",175,18,High,49
2025-11-15,Canada,Alberta,COVID-19,"cough, loss of smell, breathing difficulty, fever",488,4,Low,335
2026-04-27,USA,New York,COVID-19,"loss of smell, cough, fever",453,6,Low,25
2025-08-07,Germany,Berlin,Respiratory Infection,"cough, fever, breathing issue, sore throat",153,9,Moderate,41
2025-12-22,USA,Florida,Malaria,"fever, fatigue",283,7,Low,64
2025-06-11,Canada,Quebec,Respiratory Infection,"breathing issue, fever",271,20,High,131
2025-06-12,Germany,Hamburg,Respiratory Infection,"breathing issue, cough, fever, sore throat",426,20,High,214
2025-07-26,USA,Ohio,Diabetes,"fatigue, weight loss",217,16,High,206
2025-08-18,Germany,Hesse,Typhoid,"fever, abdominal pain",348,8,Moderate,273
2025-08-30,Germany,Hesse,Malaria,"fatigue, chills",198,7,Low,49
2026-05-07,India,Gujarat,Respiratory Infection,"fever, breathing issue, cough, sore throat",220,13,Moderate,184
2026-02-21,Canada,Alberta,Skin Infection,"swelling, skin rash, redness",346,10,Moderate,130
2025-06-10,Canada,Alberta,COVID-19,"cough, loss of smell, fever",299,20,High,235
2025-06-22,Germany,Bavaria,Migraine,"headache, nausea",221,10,Moderate,45
2025-09-10,Germany,Hamburg,Dengue,"joint pain, headache",67,16,High,65
2026-03-15,Germany,Hesse,Malaria,"fever, chills, fatigue, sweating",93,20,High,91
2025-12-26,India,Rajasthan,Respiratory Infection,"cough, breathing issue",438,8,Moderate,316
2025-11-03,Canada,Ontario,Respiratory Infection,"sore throat, breathing issue, cough, fever",88,20,High,22
2026-01-12,India,Uttar Pradesh,Dengue,"high fever, joint pain, skin rash, headache",284,5,Low,176
2025-12-21,USA,Florida,Respiratory Infection,"fever, breathing issue, cough",66,4,Low,66
2026-01-05,USA,Texas,Respiratory Infection,"sore throat, fever, cough",437,13,Moderate,270
2026-02-06,India,Punjab,Typhoid,"abdominal pain, weakness, loss of appetite, fever",314,20,High,288
2026-04-26,Canada,Alberta,Malaria,"chills, fever",101,5,Low,8
2025-12-16,India,Karnataka,Diabetes,"weight loss, frequent urination",126,6,Low,95
2025-06-16,Germany,Hesse,Diabetes,"fatigue, increased thirst, weight loss",90,8,Moderate,20
2026-04-28,USA,Ohio,COVID-19,"cough, breathing difficulty, fever, loss of smell",468,20,High,385
2026-04-04,India,Tamil Nadu,COVID-19,"breathing difficulty, loss of smell",498,6,Low,54
2025-07-03,India,Karnataka,Migraine,"sensitivity to light, vomiting",330,6,Low,224
2026-01-11,USA,New York,Skin Infection,"redness, skin rash, swelling, itching",379,11,Moderate,274
2026-03-27,Canada,Quebec,Skin Infection,"redness, skin rash, swelling, itching",106,8,Moderate,17
2026-02-02,India,Rajasthan,Typhoid,"fever, abdominal pain",268,8,Moderate,168
2025-07-04,USA,Texas,Typhoid,"loss of appetite, abdominal pain, fever, weakness",131,11,Moderate,13
2025-08-24,USA,Florida,Asthma,"cough, wheezing, chest tightness, breathing difficulty",28,8,Moderate,13
2025-09-21,Canada,Quebec,Skin Infection,"itching, swelling",174,13,Moderate,152
2025-07-13,India,Rajasthan,Diabetes,"frequent urination, fatigue",147,5,Low,146
2025-06-23,USA,New York,COVID-19,"fever, cough, breathing difficulty",421,6,Low,275
2025-06-13,USA,Texas,Skin Infection,"swelling, redness",210,16,High,97
2026-01-29,Canada,Ontario,Diabetes,"fatigue, frequent urination, increased thirst",230,17,High,219
2025-09-10,Germany,Hesse,Diabetes,"increased thirst, frequent urination",274,3,Low,95
2025-10-06,India,Punjab,Malaria,"fatigue, sweating",60,4,Low,28
2026-05-01,Germany,Hesse,Flu,"fever, cough",234,19,High,83
2025-08-21,USA,Florida,Respiratory Infection,"fever, cough, breathing issue",463,16,High,266
2025-08-23,India,Tamil Nadu,Diabetes,"increased thirst, weight loss, fatigue",274,13,Moderate,69
2026-01-10,India,Gujarat,COVID-19,"fever, loss of smell, breathing difficulty",257,18,High,40
2026-03-15,USA,California,Malaria,"chills, fatigue",132,13,Moderate,92
2025-06-25,Canada,Ontario,Respiratory Infection,"fever, breathing issue, cough, sore throat",80,14,Moderate,11
2025-07-29,Canada,Ontario,Skin Infection,"skin rash, redness",39,6,Low,19
2026-02-25,India,Gujarat,Asthma,"breathing difficulty, chest tightness, wheezing",81,17,High,1
2026-02-02,India,Punjab,Respiratory Infection,"sore throat, fever, cough",338,17,High,49
2025-05-31,India,Uttar Pradesh,Diabetes,"weight loss, fatigue",363,6,Low,241
2025-09-12,USA,Ohio,Malaria,"chills, sweating, fatigue, fever",431,10,Moderate,246
2025-06-10,India,Uttar Pradesh,COVID-19,"breathing difficulty, fever",33,5,Low,24
2025-06-26,Canada,Ontario,Dengue,"high fever, skin rash, headache",123,18,High,18
2026-04-04,India,Maharashtra,Flu,"runny nose, cough",362,19,High,223
2025-10-08,USA,Florida,Skin Infection,"skin rash, redness, itching, swelling",312,14,Moderate,251
2025-08-04,USA,Ohio,Typhoid,"abdominal pain, loss of appetite, fever",279,7,Low,51
2026-02-25,Canada,Ontario,Asthma,"breathing difficulty, cough",353,10,Moderate,282
2026-01-17,India,Tamil Nadu,Respiratory Infection,"breathing issue, fever",76,7,Low,10
2025-05-25,Germany,Bavaria,Asthma,"chest tightness, wheezing",317,10,Moderate,228
2025-07-02,Germany,Berlin,Dengue,"skin rash, high fever, joint pain",412,17,High,198
2025-06-20,India,Tamil Nadu,Flu,"fever, cough",130,16,High,33
2025-11-09,USA,New York,Skin Infection,"skin rash, redness, itching, swelling",173,17,High,147
